year,category,film,name,status,gender
1932,WRITING,The Prizefighter and the Lady,Frances Marion,nominated,female
1932,WRITING,Rasputin and the Empress,Charles MacArthur,nominated,male
1932,WRITING,One Way Passage,Robert Lord,winner,male
1932,WRITING,State Fair,Paul Green,nominated,male
1932,WRITING,Little Women,Victor Heerman,winner,male
1932,WRITING,Lady for a Day,Robert Riskin,nominated,male
1932,SHORT FILM,Menu,Pete Smith,nominated,male
1932,SHORT FILM,So This Is Harris,Louis Brock,winner,male
1932,SHORT FILM,A Preferred List,Louis Brock,nominated,male
1932,SHORT FILM,Mister Mugg,Warren Doane,nominated,male
1932,DIRECTING,Little Women,George Cukor,nominated,male
1932,DIRECTING,Lady for a Day,Frank Capra,nominated,male
1932,DIRECTING,Cavalcade,Frank Lloyd,winner,male
1932,CINEMATOGRAPHY,The Sign of the Cross,Karl Struss,nominated,male
1932,WRITING,State Fair,Sonya Levien,nominated,female
1932,CINEMATOGRAPHY,Reunion in Vienna,George J. Folsey,nominated,male
1932,CINEMATOGRAPHY,A Farewell to Arms,Charles Bryant Lang,winner,male
1932,WRITING,Little Women,Sarah Y. Mason,winner,female
1934,WRITING,Viva Villa!,Ben Hecht,nominated,male
1934,WRITING,Hide-Out,Mauri Grashin,nominated,male
1934,FILM EDITING,Cleopatra,Anne Bauchens,nominated,female
1934,WRITING,The Richest Girl in the World,Norman Krasna,nominated,male
1934,WRITING,The Thin Man,Frances Goodrich,nominated,female
1934,WRITING,It Happened One Night,Robert Riskin,winner,male
1934,WRITING,Manhattan Melodrama,Arthur Caesar,winner,male
1934,SHORT FILM,Strikes and Spares,Pete Smith,nominated,male
1934,WRITING,The Thin Man,Albert Hackett,nominated,male
1934,SHORT FILM,Men in Black,Jules White,nominated,male
1934,SHORT FILM,La Cucaracha,Kenneth Macgowan,winner,male
1934,FILM EDITING,One Night of Love,Gene Milford,nominated,male
1934,FILM EDITING,Eskimo,Conrad Nervig,winner,male
1934,DIRECTING,The Thin Man,W. S. Van Dyke,nominated,male
1934,DIRECTING,One Night of Love,Victor Schertzinger,nominated,male
1934,DIRECTING,It Happened One Night,Frank Capra,winner,male
1934,SHORT FILM,City of Wax,Horace Woodard,winner,male
1934,CINEMATOGRAPHY,Operator 13,George Folsey,nominated,male
1934,CINEMATOGRAPHY,Cleopatra,Victor Milner,winner,male
1934,CINEMATOGRAPHY,The Affairs of Cellini,Charles Rosher,nominated,male
1935,WRITING,The Lives of a Bengal Lancer,William Slavens McNutt,nominated,male
1935,WRITING,Mutiny on the Bounty,Talbot Jennings,nominated,male
1935,WRITING,Mutiny on the Bounty,Jules Furthman,nominated,male
1935,WRITING,Mutiny on the Bounty,Carey Wilson,nominated,male
1935,DIRECTING,The Lives of a Bengal Lancer,Henry Hathaway,nominated,male
1935,SHORT FILM,Tit for Tat,Hal Roach,nominated,male
1935,WRITING,The Lives of a Bengal Lancer,Grover Jones,nominated,male
1935,DIRECTING,Mutiny on the Bounty,Frank Lloyd,nominated,male
